index,Group
1.0,first
2.0,first
3.0,first
4.0,first
5.0,first
6.0,first
7.0,first
8.0,first
9.0,first
10.0,first
11.0,first
12.0,first
13.0,first
14.0,first
15.0,first
16.0,first
17.0,first
18.0,first
19.0,first
20.0,first
21.0,second
22.0,second
23.0,second
24.0,second
25.0,second
26.0,second
27.0,second
28.0,second
29.0,second
30.0,second
31.0,second
32.0,second
33.0,second
34.0,second
35.0,second
36.0,second
37.0,second
38.0,second
39.0,second
40.0,second
41.0,third
42.0,third
43.0,third
44.0,third
45.0,third
46.0,third
47.0,third
48.0,third
49.0,third
50.0,third
51.0,third
52.0,third
53.0,third
54.0,third
55.0,third
56.0,third
57.0,third
58.0,third
59.0,third
60.0,third
61.0,fourth
62.0,fourth
63.0,fourth
64.0,fourth
65.0,fourth
66.0,fourth
67.0,fourth
68.0,fourth
69.0,fourth
70.0,fourth
71.0,fourth
72.0,fourth
73.0,fourth
74.0,fourth
75.0,fourth
76.0,fourth
77.0,fourth
78.0,fourth
79.0,fourth
80.0,fourth
81.0,fifth
82.0,fifth
83.0,fifth
84.0,fifth
85.0,fifth
86.0,fifth
87.0,fifth
88.0,fifth
89.0,fifth
90.0,fifth
91.0,fifth
92.0,fifth
93.0,fifth
94.0,fifth
95.0,fifth
96.0,fifth
97.0,fifth
98.0,fifth
99.0,fifth
100.0,fifth
